,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,posemo,interrog,number,quant,affect,negemo,compare,social,anx,anger,sad,risk,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,money,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1633,24,50.33,1.0,99.0,25.77,12.0,12.5,66.67,45.83,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,8.33,0.0,4.17,8.33,12.5,4.17,0.0,0.0,8.33,8.33,0.0,0.0,0.12511251125112500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.17,0.0,4.17,0.0,8.33,4.17,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,4.17,0.0,0.0,0.0,0.0,8.33,0.0,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637,31,84.99,37.35,78.86,99.0,10.33,22.58,87.1,41.94,9.68,0.0,0.0,0.0,0.0,0.0,0.0,9.68,6.45,12.9,3.23,6.45,6.45,0.0,16.13,9.68,0.1075,3.23,0.0,0.0,6.45,0.0,0.09690969096909690,0.0646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.81,6.45,6.45,3.23,3.23,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,0.0,3.23,0.0,6.45,0.07106710671067110,0.0,12.9,0.0,16.13,0.0,12.9,3.23,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,6.45,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639,27,75.9,22.95,33.94,99.0,13.5,18.52,74.07,55.56,7.41,7.41,0.0,0.0,7.41,0.0,0.0,0.0,11.11,11.11,11.11,0.0,7.41,7.41,11.11,3.7,0.1235,0.0,0.0,0.0,7.41,0.0,0.0,0.1482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.81,0.0,0.0,3.7,7.41,0.0,14.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,7.41,0.0814081408140814,0.0,7.41,3.7,7.41,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,3.7,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1640,14,1.92,1.0,89.63,99.0,14.0,14.29,85.71,57.14,14.29,7.14,7.14,0.0,0.0,0.0,0.0,7.14,0.0,7.14,7.14,7.14,14.29,14.29,7.14,0.0,0.23816666666666700,7.14,0.0,7.14,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,7.14,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43,0.0,7.14,7.14,21.43,0.0,0.0,14.29,0.0,14.29,0.0,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1642,25,52.71,11.52,1.0,91.14,25.0,12.0,88.0,44.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,8.0,4.0,16.0,8.0,0.13333333333333300,0.0,4.0,4.0,12.0,0.1400070003500180,0.0,0.08,0.0,0.0,0.0,0.18001800180018000,0.0,0.0,0.0,0.0,20.0,0.0,0.0,4.0,4.0,4.0,8.0,4.0,0.0,0.0,4.0,8.0,4.0,4.0,0.0,0.0,12.0,0.0,4.0,0.0,4.0,0.176017601760176,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1647,33,40.71,27.23,70.57,99.0,33.0,12.12,72.73,42.42,15.15,9.09,6.06,0.0,0.0,0.0,3.03,6.06,0.0,9.09,3.03,3.03,9.09,3.03,9.09,3.03,0.1515,3.03,3.03,6.06,9.09,0.0,0.09090909090909090,0.1818,0.0,0.0,0.0,0.13636363636363600,0.0,3.03,0.0,3.03,12.12,0.0,0.0,0.0,0.0,6.06,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.1333333333333330,0.0,6.06,0.0,12.12,0.0,3.03,9.09,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1648,5,8.69,50.0,43.37,99.0,2.5,0.0,100.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,40.0,0.3333333333333330,0.0,0.0,20.0,20.0,0.0,0.6000600060006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1650,11,32.58,18.16,1.0,99.0,11.0,18.18,81.82,63.64,9.09,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.09,9.09,18.18,9.09,0.0,9.09,27.27,9.09,0.1515,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,0.0,9.09,0.20000000000000000,0.0,18.18,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1651,60,74.65,93.3,15.86,99.0,20.0,13.33,88.33,48.33,15.0,8.33,0.0,0.0,6.67,0.0,1.67,6.67,10.0,8.33,5.0,5.0,3.33,1.67,15.0,5.0,0.11116666666666700,1.67,0.0,1.67,6.67,0.0,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,3.33,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,3.33,1.67,1.67,3.33,0.14675467546754700,0.0,6.67,0.0,8.33,1.67,1.67,5.0,6.67,5.0,0.0,0.0,3.33,5.0,0.0,5.0,0.0,0.0,0.0,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1652,8,11.86,10.58,74.76,99.0,8.0,0.0,75.0,62.5,25.0,12.5,12.5,0.0,0.0,0.0,0.0,12.5,0.0,12.5,25.0,0.0,0.0,0.0,25.0,0.0,0.20833333333333300,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
